Nazwisko	Imie	Osiagniecia	Zachowanie	JP	Mat	Biol	Geog	GHP	GHH	GMM	GMP	GJP	osiagniecia	zachowanie	jp	mat	biol	geo	ghp	ghh	gmm	gmp	gjp	srednia	ile pkt
Senger	Joanna	5	4	3	3	3	6	98	48	6	70	6	5	0	4	4	4	10	9,8	4,8	0,6	7	0,6	3,75	49,8
Sadowska	Julia	3	3	2	3	3	2	38	71	35	95	84	3	0	0	4	4	0	3,8	7,1	3,5	9,5	8,4	2,5	43,3
Wojcicki	Aleks	7	4	6	4	6	5	95	100	100	40	100	7	0	10	6	10	8	9,5	10	10	4	10	5,25	84,5
Szczepkowski	Dorian	7	2	4	5	3	4	59	14	99	4	3	7	0	6	8	4	6	5,9	1,4	9,9	0,4	0,3	4	48,9
Stanislawska	Hanna	3	3	5	5	2	6	26	14	18	96	41	3	0	8	8	0	10	2,6	1,4	1,8	9,6	4,1	4,5	48,5
Salanowska	Julia	8	6	3	4	2	4	8	78	64	10	55	8	2	4	6	0	6	0,8	7,8	6,4	1	5,5	3,25	47,5
Skrzydlak	Izabela	3	5	2	4	3	6	41	37	5	34	93	3	0	0	6	4	10	4,1	3,7	0,5	3,4	9,3	3,75	44
Koszlaga	Mateusz	4	6	4	3	2	3	60	7	97	80	43	4	2	6	4	0	4	6	0,7	9,7	8	4,3	3	48,7
Glowinska	Patrycja	1	4	5	4	2	5	53	18	94	99	76	1	0	8	6	0	8	5,3	1,8	9,4	9,9	7,6	4	57
Sautycz	Julia	5	3	3	4	6	6	84	87	96	8	17	5	0	4	6	10	10	8,4	8,7	9,6	0,8	1,7	4,75	64,2
Kowalczuk	Maria	2	3	5	2	2	5	6	43	53	71	3	2	0	8	0	0	8	0,6	4,3	5,3	7,1	0,3	3,5	35,6
Sochacka	Inka	0	2	6	5	6	3	89	40	28	32	47	0	0	10	8	10	4	8,9	4	2,8	3,2	4,7	5	55,6
Filarska	Sandra	0	5	6	4	4	2	22	9	1	76	28	0	0	10	6	6	0	2,2	0,9	0,1	7,6	2,8	4	35,6
Przestrzelski	Jakub	6	3	2	2	2	4	82	95	8	46	76	6	0	0	0	0	6	8,2	9,5	0,8	4,6	7,6	2,5	42,7
Labuda	Marcel	7	3	2	4	4	2	67	26	50	90	34	7	0	0	6	6	0	6,7	2,6	5	9	3,4	3	45,7
Broukin	Zofia	2	2	6	5	4	5	34	59	59	7	1	2	0	10	8	6	8	3,4	5,9	5,9	0,7	0,1	5	50
Kozlowska	Malgorzata	4	6	5	5	6	4	56	75	51	47	71	4	2	8	8	10	6	5,6	7,5	5,1	4,7	7,1	5	68
Jakubowski	Nikodem	6	4	5	5	5	4	70	71	27	77	13	6	0	8	8	8	6	7	7,1	2,7	7,7	1,3	4,75	61,8
Sarnowski	Ignacy	2	2	4	4	4	6	30	55	59	77	58	2	0	6	6	6	10	3	5,5	5,9	7,7	5,8	4,5	57,9
Riegel	Julia	5	6	6	6	5	5	57	22	16	20	67	5	2	10	10	8	8	5,7	2,2	1,6	2	6,7	5,5	61,2
Wierzbicki	Antoni	6	2	5	3	3	6	67	98	28	6	20	6	0	8	4	4	10	6,7	9,8	2,8	0,6	2	4,25	53,9
Sachse	Julia	7	4	6	4	3	3	12	86	61	94	74	7	0	10	6	4	4	1,2	8,6	6,1	9,4	7,4	4	63,7
Kowalczyk	Mateusz	0	3	4	3	5	2	82	70	18	28	34	0	0	6	4	8	0	8,2	7	1,8	2,8	3,4	3,5	41,2
Jurewicz	Nadia	8	5	4	6	2	6	32	88	15	45	24	8	0	6	10	0	10	3,2	8,8	1,5	4,5	2,4	4,5	54,4
Steinborn	Hanna	2	2	5	5	2	2	65	87	53	98	50	2	0	8	8	0	0	6,5	8,7	5,3	9,8	5	3,5	53,3
Siminski	Henryk	3	2	3	3	6	6	10	21	35	98	21	3	0	4	4	10	10	1	2,1	3,5	9,8	2,1	4,5	49,5
Machalski	Maciej	2	3	6	3	6	3	53	50	16	44	8	2	0	10	4	10	4	5,3	5	1,6	4,4	0,8	4,5	47,1
Porydzaj	Jakub	1	5	3	6	4	4	38	43	49	89	16	1	0	4	10	6	6	3,8	4,3	4,9	8,9	1,6	4,25	50,5
Spanowski	Filip	6	6	4	6	5	3	99	95	48	16	11	6	2	6	10	8	4	9,9	9,5	4,8	1,6	1,1	4,5	62,9
Zmurko	Adam	6	5	6	5	6	3	78	22	95	18	15	6	0	10	8	10	4	7,8	2,2	9,5	1,8	1,5	5	60,8
Sibiga	Joanna	6	3	3	6	4	5	25	73	78	61	29	6	0	4	10	6	8	2,5	7,3	7,8	6,1	2,9	4,5	60,6
Makowska	Luiza	6	5	5	6	2	4	65	66	87	5	65	6	0	8	10	0	6	6,5	6,6	8,7	0,5	6,5	4,25	58,8
Machol	Maciej	8	2	2	3	4	3	18	83	86	67	90	8	0	0	4	6	4	1,8	8,3	8,6	6,7	9	3	56,4
Szmitko	Dominik	0	3	4	6	4	4	41	88	4	24	37	0	0	6	10	6	6	4,1	8,8	0,4	2,4	3,7	4,5	47,4
Leman	Maja	7	3	4	4	5	6	54	42	82	99	81	7	0	6	6	8	10	5,4	4,2	8,2	9,9	8,1	4,75	72,8
Rembisz	Jakub	3	6	5	2	4	6	51	96	78	72	39	3	2	8	0	6	10	5,1	9,6	7,8	7,2	3,9	4,25	62,6
Stankiewicz	Hanna	8	6	2	2	6	6	86	67	94	38	45	8	2	0	0	10	10	8,6	6,7	9,4	3,8	4,5	4	63
Zurek	Adam	7	5	6	4	6	5	15	79	11	20	58	7	0	10	6	10	8	1,5	7,9	1,1	2	5,8	5,25	59,3
Reczmin	Jakub	3	6	3	5	5	2	49	99	78	70	60	3	2	4	8	8	0	4,9	9,9	7,8	7	6	3,75	60,6
Swierszcz	Cyprian	3	6	3	5	4	2	94	27	20	13	49	3	2	4	8	6	0	9,4	2,7	2	1,3	4,9	3,5	43,3
Wizniewski	Antoni	8	4	5	6	6	2	94	99	87	99	62	8	0	8	10	10	0	9,4	9,9	8,7	9,9	6,2	4,75	80,1
Perez 	Karolina	8	2	4	5	2	4	20	78	54	34	95	8	0	6	8	0	6	2	7,8	5,4	3,4	9,5	3,75	56,1
Adamiak	Zofia	5	2	4	5	5	3	39	16	8	66	29	5	0	6	8	8	4	3,9	1,6	0,8	6,6	2,9	4,25	46,8
Zylinska	Adelajda	0	6	3	5	4	2	77	80	92	43	100	0	2	4	8	6	0	7,7	8	9,2	4,3	10	3,5	59,2
Kulkowska	Maja	1	4	6	3	4	2	70	39	65	57	90	1	0	10	4	6	0	7	3,9	6,5	5,7	9	3,75	53,1
Dzierzak	Piotr	0	4	5	4	6	2	4	85	83	10	33	0	0	8	6	10	0	0,4	8,5	8,3	1	3,3	4,25	45,5
Engel	Urszula	8	5	5	4	3	3	80	91	16	12	73	8	0	8	6	4	4	8	9,1	1,6	1,2	7,3	3,75	57,2
Yuksek	Adrian	6	6	2	3	6	5	27	6	19	61	63	6	2	0	4	10	8	2,7	0,6	1,9	6,1	6,3	4	47,6
Zdrojewska	Agata	0	5	5	3	2	6	26	23	48	73	63	0	0	8	4	0	10	2,6	2,3	4,8	7,3	6,3	4	45,3
Zgadzaj	Agata	8	3	5	5	6	3	28	69	99	45	61	8	0	8	8	10	4	2,8	6,9	9,9	4,5	6,1	4,75	68,2
Zawisza	Adrian	1	2	3	2	3	6	51	14	33	28	43	1	0	4	0	4	10	5,1	1,4	3,3	2,8	4,3	3,5	35,9
Duszota	Piotr	3	5	6	5	2	5	73	84	48	36	4	3	0	10	8	0	8	7,3	8,4	4,8	3,6	0,4	4,5	53,5
Nowak	Kacper	4	4	5	5	3	6	44	16	68	55	66	4	0	8	8	4	10	4,4	1,6	6,8	5,5	6,6	4,75	58,9
Lyszcz	Maciej	2	6	6	3	6	2	71	95	90	50	91	2	2	10	4	10	0	7,1	9,5	9	5	9,1	4,25	67,7
Strack	Filip	5	5	2	6	2	2	90	88	73	83	51	5	0	0	10	0	0	9	8,8	7,3	8,3	5,1	3	53,5
Mazurkiewicz	Lena	1	5	2	2	3	5	11	24	35	70	6	1	0	0	0	4	8	1,1	2,4	3,5	7	0,6	3	27,6
Potocki	Jakub	5	2	2	6	5	6	44	43	19	86	18	5	0	0	10	8	10	4,4	4,3	1,9	8,6	1,8	4,75	54
Furmaniak	Pawel	2	5	4	3	6	6	15	69	48	14	32	2	0	6	4	10	10	1,5	6,9	4,8	1,4	3,2	4,75	49,8
Strupiechowski	Filip	6	3	4	5	3	4	38	48	3	38	91	6	0	6	8	4	6	3,8	4,8	0,3	3,8	9,1	4	51,8
Reclaw	Julia	3	6	3	6	3	5	66	42	40	91	74	3	2	4	10	4	8	6,6	4,2	4	9,1	7,4	4,25	62,3
Tomaszewski	Bruno	7	4	2	4	6	5	28	1	36	63	49	7	0	0	6	10	8	2,8	0,1	3,6	6,3	4,9	4,25	48,7
Szczepanska	Emilia	0	6	5	6	5	6	12	20	10	73	68	0	2	8	10	8	10	1,2	2	1	7,3	6,8	5,5	56,3
Spychala	Filip	4	5	4	2	3	4	21	58	66	93	89	4	0	6	0	4	6	2,1	5,8	6,6	9,3	8,9	3,25	52,7
Szczucki	Dominik	0	2	2	4	3	3	3	25	93	92	73	0	0	0	6	4	4	0,3	2,5	9,3	9,2	7,3	3	42,6
Marzec	Lena	4	4	2	6	5	2	81	5	60	2	91	4	0	0	10	8	0	8,1	0,5	6	0,2	9,1	3,75	45,9
Rembiewski	Jakub	1	4	6	4	3	6	100	100	100	36	10	1	0	10	6	4	10	10	10	10	3,6	1	4,75	65,6
Geszczynski	Patryk	2	3	3	5	6	6	32	27	15	59	26	2	0	4	8	10	10	3,2	2,7	1,5	5,9	2,6	5	49,9
Wamka	Anastazja	3	5	2	6	3	3	95	15	44	29	14	3	0	0	10	4	4	9,5	1,5	4,4	2,9	1,4	3,5	40,7
Bialkowska	Monika	2	4	2	6	4	4	84	95	31	8	54	2	0	0	10	6	6	8,4	9,5	3,1	0,8	5,4	4	51,2
Kulakowski	Marcjusz	5	2	3	4	3	6	30	24	66	41	82	5	0	4	6	4	10	3	2,4	6,6	4,1	8,2	4	53,3
Przytula	Jakub	1	3	6	4	6	2	30	35	100	100	100	1	0	10	6	10	0	3	3,5	10	10	10	4,5	63,5
Bsk	Arleta	1	5	4	2	5	6	54	50	9	59	54	1	0	6	0	8	10	5,4	5	0,9	5,9	5,4	4,25	47,6
Derek	Stanislaw	6	2	3	5	4	4	50	30	14	20	88	6	0	4	8	6	6	5	3	1,4	2	8,8	4	50,2
Felisiak	Sofie	6	3	6	5	4	5	62	47	19	10	40	6	0	10	8	6	8	6,2	4,7	1,9	1	4	5	55,8
Lupa	Maksymilian	0	3	6	3	5	6	12	60	63	37	71	0	0	10	4	8	10	1,2	6	6,3	3,7	7,1	5	56,3
Wojciechowska	Alicja	2	3	2	2	3	2	56	63	26	92	13	2	0	0	0	4	0	5,6	6,3	2,6	9,2	1,3	2,25	31
Pieterson	Jan	5	5	6	6	5	6	45	97	5	73	12	5	0	10	10	8	10	4,5	9,7	0,5	7,3	1,2	5,75	66,2
Hrywniak	Olaf	2	4	5	2	4	6	96	60	4	45	21	2	0	8	0	6	10	9,6	6	0,4	4,5	2,1	4,25	48,6
Ciosinski	Jacek	7	3	3	6	5	5	57	31	22	59	61	7	0	4	10	8	8	5,7	3,1	2,2	5,9	6,1	4,75	60
Helinska	Nikola	5	6	4	2	5	5	18	86	25	29	9	5	2	6	0	8	8	1,8	8,6	2,5	2,9	0,9	4	45,7
Frankowska	Roksana	5	4	6	2	5	4	93	47	47	34	39	5	0	10	0	8	6	9,3	4,7	4,7	3,4	3,9	4,25	55
Brydzinski	Mariusz	3	6	2	3	2	6	89	30	43	25	1	3	2	0	4	0	10	8,9	3	4,3	2,5	0,1	3,25	37,8
Mrozik	Lena	6	2	3	2	3	6	67	74	49	43	52	6	0	4	0	4	10	6,7	7,4	4,9	4,3	5,2	3,5	52,5
Klein	Michalina	8	3	2	6	5	3	41	29	52	81	26	8	0	0	10	8	4	4,1	2,9	5,2	8,1	2,6	4	52,9
Strehlke	Filip	8	2	4	3	5	4	32	83	14	77	71	8	0	6	4	8	6	3,2	8,3	1,4	7,7	7,1	4	59,7
Ciesielska	Wiktoria	6	5	2	6	6	4	48	39	45	39	59	6	0	0	10	10	6	4,8	3,9	4,5	3,9	5,9	4,5	55
Wydrzynski	Adrian	1	3	2	3	5	2	11	23	92	50	36	1	0	0	4	8	0	1,1	2,3	9,2	5	3,6	3	34,2
Beniuszys	Mikolaj	0	5	3	5	2	5	20	51	64	67	72	0	0	4	8	0	8	2	5,1	6,4	6,7	7,2	3,75	47,4
Witkowski	Andrea	7	4	6	2	5	5	90	9	61	28	92	7	0	10	0	8	8	9	0,9	6,1	2,8	9,2	4,5	61
Dsbrowski	Stanislaw	4	2	6	6	6	4	91	63	88	68	75	4	0	10	10	10	6	9,1	6,3	8,8	6,8	7,5	5,5	78,5
Procinska	Julianna	3	3	4	5	6	3	59	13	14	22	96	3	0	6	8	10	4	5,9	1,3	1,4	2,2	9,6	4,5	51,4
Radziszewski	Jakub	1	3	3	4	3	4	7	13	73	73	78	1	0	4	6	4	6	0,7	1,3	7,3	7,3	7,8	3,5	45,4
Kolodziejczyk	Marta	7	3	6	2	4	6	39	69	10	10	91	7	0	10	0	6	10	3,9	6,9	1	1	9,1	4,5	54,9
Radomski	Jakub	5	6	4	3	5	2	18	29	18	5	64	5	2	6	4	8	0	1,8	2,9	1,8	0,5	6,4	3,5	38,4
Lange	Maja	3	3	3	6	2	2	80	5	4	59	5	3	0	4	10	0	0	8	0,5	0,4	5,9	0,5	3,25	32,3
Kornatowski	Mateusz	2	4	6	3	6	6	72	51	1	33	91	2	0	10	4	10	10	7,2	5,1	0,1	3,3	9,1	5,25	60,8
Pistek	Jan	1	4	4	3	3	6	25	23	20	93	78	1	0	6	4	4	10	2,5	2,3	2	9,3	7,8	4	48,9
Bialkowska	Kamila	4	5	5	3	5	2	79	53	97	34	92	4	0	8	4	8	0	7,9	5,3	9,7	3,4	9,2	3,75	59,5
Jurczyk	Nadia	4	2	6	4	3	2	13	81	58	45	11	4	0	10	6	4	0	1,3	8,1	5,8	4,5	1,1	3,75	44,8
Cieslik	Stanislaw	5	2	3	3	2	6	93	31	9	50	41	5	0	4	4	0	10	9,3	3,1	0,9	5	4,1	3,5	45,4
Trzebiatowska	Anna	2	2	2	2	2	2	10	93	88	23	43	2	0	0	0	0	0	1	9,3	8,8	2,3	4,3	2	27,7
Kluziak	Matylda	0	3	3	2	3	6	7	69	31	13	61	0	0	4	0	4	10	0,7	6,9	3,1	1,3	6,1	3,5	36,1
Mierzejewski	Kornel	5	3	2	2	4	6	24	79	99	6	89	5	0	0	0	6	10	2,4	7,9	9,9	0,6	8,9	3,5	50,7
Szreder	Dawid	7	2	2	4	4	6	57	11	80	27	21	7	0	0	6	6	10	5,7	1,1	8	2,7	2,1	4	48,6
Rybinski	Igor	7	6	6	2	2	4	2	65	47	64	89	7	2	10	0	0	6	0,2	6,5	4,7	6,4	8,9	3,5	51,7
Burza	Stanislaw	6	4	5	3	6	2	46	75	6	45	9	6	0	8	4	10	0	4,6	7,5	0,6	4,5	0,9	4	46,1
Wojcik	Aleks	8	3	6	4	5	2	8	35	65	30	5	8	0	10	6	8	0	0,8	3,5	6,5	3	0,5	4,25	46,3
Pawelec	Jan	3	6	6	3	4	5	35	1	100	65	86	3	2	10	4	6	8	3,5	0,1	10	6,5	8,6	4,5	61,7
Micun	Krzysztof	8	3	2	3	5	5	31	75	10	37	48	8	0	0	4	8	8	3,1	7,5	1	3,7	4,8	3,75	48,1
Jablonski	Nikodem	4	3	4	2	5	6	53	74	66	37	55	4	0	6	0	8	10	5,3	7,4	6,6	3,7	5,5	4,25	56,5
Kwidczynska	Maja	4	6	5	3	4	4	43	49	12	36	87	4	2	8	4	6	6	4,3	4,9	1,2	3,6	8,7	4	52,7
Leoniuk	Marcel	4	4	6	2	5	2	60	75	10	59	5	4	0	10	0	8	0	6	7,5	1	5,9	0,5	3,75	42,9
Tomaszewska	Anna	7	6	4	2	2	3	89	29	58	19	97	7	2	6	0	0	4	8,9	2,9	5,8	1,9	9,7	2,75	48,2
Kurasik	Marcin	5	6	5	3	5	3	61	95	36	86	36	5	2	8	4	8	4	6,1	9,5	3,6	8,6	3,6	4	62,4
Grzsdzielska	Nina	7	6	2	3	3	2	2	9	56	86	71	7	2	0	4	4	0	0,2	0,9	5,6	8,6	7,1	2,5	39,4
Krynicki	Mateusz	6	2	4	5	6	4	21	73	39	28	25	6	0	6	8	10	6	2,1	7,3	3,9	2,8	2,5	4,75	54,6
Miszkin	Lena	0	5	2	4	3	3	52	74	79	92	69	0	0	0	6	4	4	5,2	7,4	7,9	9,2	6,9	3	50,6
Wilk	Amelia	1	2	2	4	5	3	97	51	38	17	5	1	0	0	6	8	4	9,7	5,1	3,8	1,7	0,5	3,5	39,8
Gibas	Patryk	3	3	2	5	3	5	68	38	31	14	54	3	0	0	8	4	8	6,8	3,8	3,1	1,4	5,4	3,75	43,5
Nowakowska	Kornelia	7	6	2	5	6	5	19	56	50	43	66	7	2	0	8	10	8	1,9	5,6	5	4,3	6,6	4,5	58,4
Broszkow	Zofia	6	6	5	3	2	3	16	95	97	62	46	6	2	8	4	0	4	1,6	9,5	9,7	6,2	4,6	3,25	55,6
Jama	Nikodem	6	5	3	2	3	5	55	2	64	13	72	6	0	4	0	4	8	5,5	0,2	6,4	1,3	7,2	3,25	42,6
Chojnacki	Jacek	6	2	4	3	3	2	54	83	36	27	21	6	0	6	4	4	0	5,4	8,3	3,6	2,7	2,1	3	42,1
Klebba	Michalina	1	5	2	2	4	5	19	92	24	32	91	1	0	0	0	6	8	1,9	9,2	2,4	3,2	9,1	3,25	40,8
Tomczyk	Bruno	7	3	2	3	5	6	25	14	19	95	91	7	0	0	4	8	10	2,5	1,4	1,9	9,5	9,1	4	53,4
Wojciechowski	Aleksander	8	4	3	2	3	4	37	69	12	17	48	8	0	4	0	4	6	3,7	6,9	1,2	1,7	4,8	3	40,3
Glac	Patryk	3	6	6	6	3	4	79	23	17	99	29	3	2	10	10	4	6	7,9	2,3	1,7	9,9	2,9	4,75	59,7
Lewita	Maksymilian	4	5	2	5	4	3	41	64	91	82	100	4	0	0	8	6	4	4,1	6,4	9,1	8,2	10	3,5	59,8
Kurowska	Maja	5	4	5	2	3	2	87	45	47	75	51	5	0	8	0	4	0	8,7	4,5	4,7	7,5	5,1	3	47,5
Lutczyk	Maciej	8	3	6	3	6	2	84	77	71	71	9	8	0	10	4	10	0	8,4	7,7	7,1	7,1	0,9	4,25	63,2
Laskowski	Maciej	1	2	4	4	5	5	20	93	68	58	23	1	0	6	6	8	8	2	9,3	6,8	5,8	2,3	4,5	55,2
Adamczyk	Zuzanna	7	5	6	6	2	5	80	90	62	97	3	7	0	10	10	0	8	8	9	6,2	9,7	0,3	4,75	68,2
Wolski	Aleksander	6	6	6	4	4	5	77	40	93	80	71	6	2	10	6	6	8	7,7	4	9,3	8	7,1	4,75	74,1
Dsbrowa	Szymon	4	6	5	3	5	4	65	34	51	38	65	4	2	8	4	8	6	6,5	3,4	5,1	3,8	6,5	4,25	57,3
Jackowska	Natasza	0	6	4	3	3	2	62	62	86	10	2	0	2	6	4	4	0	6,2	6,2	8,6	1	0,2	3	38,2
Korenkiewicz	Marika	8	5	4	2	4	2	70	4	92	91	21	8	0	6	0	6	0	7	0,4	9,2	9,1	2,1	3	47,8
Iwanowski	Olaf	1	2	6	5	6	4	66	78	26	98	56	1	0	10	8	10	6	6,6	7,8	2,6	9,8	5,6	5,25	67,4
Arendt	Wojciech	3	4	6	2	2	5	54	12	13	21	24	3	0	10	0	0	8	5,4	1,2	1,3	2,1	2,4	3,75	33,4
Tarkowska	Antonina	6	2	3	3	3	6	27	2	84	100	27	6	0	4	4	4	10	2,7	0,2	8,4	10	2,7	3,75	52
Murczynska	Laura	1	4	6	6	2	3	43	77	31	88	67	1	0	10	10	0	4	4,3	7,7	3,1	8,8	6,7	4,25	55,6
Kado	Monika	3	6	6	4	3	6	63	36	68	19	39	3	2	10	6	4	10	6,3	3,6	6,8	1,9	3,9	4,75	57,5
Wieczerzak	Amelia	1	2	6	4	2	2	32	18	1	56	7	1	0	10	6	0	0	3,2	1,8	0,1	5,6	0,7	3,5	28,4
Jakudczyk	Nikodem	4	3	3	2	6	2	60	64	100	38	70	4	0	4	0	10	0	6	6,4	10	3,8	7	3,25	51,2
Gryniewicz	Oliwier	0	6	6	5	3	2	39	66	84	47	21	0	2	10	8	4	0	3,9	6,6	8,4	4,7	2,1	4	49,7
Kaliszuk	Mikolaj	2	2	5	2	3	3	11	88	90	20	65	2	0	8	0	4	4	1,1	8,8	9	2	6,5	3,25	45,4
Majtas	Lucja	2	5	5	2	6	2	79	66	91	30	90	2	0	8	0	10	0	7,9	6,6	9,1	3	9	3,75	55,6
Grzesiak	Nina	5	3	6	3	3	5	15	21	66	55	90	5	0	10	4	4	8	1,5	2,1	6,6	5,5	9	4,25	55,7
Freda	Piotr	4	3	6	6	4	4	15	36	51	10	68	4	0	10	10	6	6	1,5	3,6	5,1	1	6,8	5	54
Janczynski	Nikodem	5	5	6	6	6	6	63	88	72	90	83	5	0	10	10	10	10	6,3	8,8	7,2	9	8,3	6	84,6
Kossakowska	Marika	8	3	5	5	5	6	55	10	80	8	78	8	0	8	8	8	10	5,5	1	8	0,8	7,8	5,25	65,1
Korda	Mateusz	7	3	5	4	5	6	24	82	37	7	12	7	0	8	6	8	10	2,4	8,2	3,7	0,7	1,2	5	55,2
Klukowska	Matylda	0	2	3	4	6	6	19	82	75	35	75	0	0	4	6	10	10	1,9	8,2	7,5	3,5	7,5	4,75	58,6
Araucz	Zuzanna	5	3	5	3	3	2	33	10	92	74	79	5	0	8	4	4	0	3,3	1	9,2	7,4	7,9	3,25	49,8
Kuban	Maja	4	5	5	3	4	4	94	21	58	60	36	4	0	8	4	6	6	9,4	2,1	5,8	6	3,6	4	54,9
Rutkowski	Igor	1	2	6	4	6	5	5	79	31	60	44	1	0	10	6	10	8	0,5	7,9	3,1	6	4,4	5,25	56,9
Ma?iewski	Krzysztof	0	4	4	6	4	4	60	36	6	48	31	0	0	6	10	6	6	6	3,6	0,6	4,8	3,1	4,5	46,1
Pawlak	Jan	6	3	2	2	6	6	47	36	64	67	13	6	0	0	0	10	10	4,7	3,6	6,4	6,7	1,3	4	48,7
Zasowska	Agnieszka	0	5	5	3	3	4	92	58	73	53	68	0	0	8	4	4	6	9,2	5,8	7,3	5,3	6,8	3,75	56,4
Korkosz	Mateusz	3	5	4	6	6	4	70	3	92	40	41	3	0	6	10	10	6	7	0,3	9,2	4	4,1	5	59,6
Olczak	Kacper	5	2	4	6	5	3	78	78	90	83	63	5	0	6	10	8	4	7,8	7,8	9	8,3	6,3	4,5	72,2
Kaminski	Mikolaj	0	6	5	6	6	6	43	3	56	52	41	0	2	8	10	10	10	4,3	0,3	5,6	5,2	4,1	5,75	59,5
Wlodarczyk	Alicja	1	4	4	3	6	6	33	38	27	60	80	1	0	6	4	10	10	3,3	3,8	2,7	6	8	4,75	54,8
Grubba	Oskar	5	6	2	5	5	5	80	54	22	26	62	5	2	0	8	8	8	8	5,4	2,2	2,6	6,2	4,25	55,4
Ligman	Maksymilian	6	6	2	4	5	2	34	92	51	32	80	6	2	0	6	8	0	3,4	9,2	5,1	3,2	8	3,25	50,9
Filbrandt	Piotr	8	2	4	2	6	5	17	29	83	9	54	8	0	6	0	10	8	1,7	2,9	8,3	0,9	5,4	4,25	51,2
Formela	Piotr	1	5	6	4	3	2	14	49	64	36	2	1	0	10	6	4	0	1,4	4,9	6,4	3,6	0,2	3,75	37,5
D?browski	Szymon	6	6	3	6	2	3	27	64	47	11	24	6	2	4	10	0	4	2,7	6,4	4,7	1,1	2,4	3,5	43,3
Rowinski	Jacek	3	5	3	2	6	6	77	9	73	35	96	3	0	4	0	10	10	7,7	0,9	7,3	3,5	9,6	4,25	56
Szymanska	Ariuna	2	5	4	4	2	5	46	15	67	56	9	2	0	6	6	0	8	4,6	1,5	6,7	5,6	0,9	3,75	41,3
Gozdalik	Oliwia	3	4	6	3	2	2	79	70	42	36	76	3	0	10	4	0	0	7,9	7	4,2	3,6	7,6	3,25	47,3
Pinker	Jan	3	6	3	6	2	5	25	78	36	67	37	3	2	4	10	0	8	2,5	7,8	3,6	6,7	3,7	4	51,3
Jaglowski	Nikodem	4	5	4	6	5	2	53	61	85	8	76	4	0	6	10	8	0	5,3	6,1	8,5	0,8	7,6	4,25	56,3
Kossakowska	Marika	7	2	4	3	6	3	13	89	20	2	36	7	0	6	4	10	4	1,3	8,9	2	0,2	3,6	4	47
